tweet_id,timestamp,source,expanded_urls,rating,dog_stage,favorite_count,retweet_count,dog_prediction,prediction_confidence
666020888022790149,2015-11-15,twitter,rateDogs photo,8,None,2560,513,Welsh_springer_spaniel,0.465074
666029285002620928,2015-11-15,twitter,rateDogs photo,7,None,130,47,redbone,0.506826
666033412701032449,2015-11-15,twitter,rateDogs photo,9,None,125,44,German_shepherd,0.596461
666044226329800704,2015-11-16,twitter,rateDogs photo,6,None,298,141,Rhodesian_ridgeback,0.408143
666049248165822465,2015-11-16,twitter,rateDogs photo,5,None,109,40,miniature_pinscher,0.560311
666050758794694657,2015-11-16,twitter,rateDogs photo,10,None,133,58,Bernese_mountain_dog,0.651137
666051853826850816,2015-11-16,twitter,rateDogs photo,2,None,1210,846,,
666055525042405380,2015-11-16,twitter,rateDogs photo,10,None,433,249,chow,0.692517
666057090499244032,2015-11-16,twitter,rateDogs photo,9,None,297,141,golden_retriever,0.00795896
666058600524156928,2015-11-16,twitter,rateDogs photo,8,None,111,57,miniature_poodle,0.201493
666063827256086533,2015-11-16,twitter,rateDogs photo,10,None,476,217,golden_retriever,0.77593
666071193221509120,2015-11-16,twitter,rateDogs photo,9,None,147,60,Gordon_setter,0.503672
666073100786774016,2015-11-16,twitter,rateDogs photo,10,None,321,163,Walker_hound,0.260857
666082916733198337,2015-11-16,twitter,rateDogs photo,6,None,118,44,pug,0.489814
666094000022159362,2015-11-16,twitter,rateDogs photo,9,None,164,73,bloodhound,0.195217
666099513787052032,2015-11-16,twitter,rateDogs photo,8,None,154,67,Lhasa,0.58233
666102155909144576,2015-11-16,twitter,rateDogs photo,11,None,80,12,English_setter,0.298617
666104133288665088,2015-11-16,twitter,rateDogs photo,1,None,14293,6576,,
666268910803644416,2015-11-16,twitter,rateDogs photo,10,None,102,35,,
666273097616637952,2015-11-16,twitter,rateDogs photo,11,None,174,76,Italian_greyhound,0.176053
666287406224695296,2015-11-16,twitter,rateDogs photo,9,None,149,64,Maltese_dog,0.8575309999999999
666293911632134144,2015-11-16,twitter,rateDogs photo,3,None,500,354,,
666337882303524864,2015-11-16,twitter,rateDogs photo,9,None,198,91,Newfoundland,0.278407
666345417576210432,2015-11-16,twitter,rateDogs photo,10,None,296,135,golden_retriever,0.8587440000000001
666353288456101888,2015-11-16,twitter,rateDogs photo,8,None,220,72,malamute,0.33687399999999995
666362758909284353,2015-11-16,twitter,rateDogs photo,6,None,778,568,,
666373753744588802,2015-11-16,twitter,rateDogs photo,11,None,188,93,soft-coated_wheaten_terrier,0.326467
666396247373291520,2015-11-16,twitter,rateDogs photo,9,None,168,84,Chihuahua,0.978108
666407126856765440,2015-11-17,twitter,rateDogs photo,7,None,109,40,black-and-tan_coonhound,0.529139
666411507551481857,2015-11-17,twitter,rateDogs photo,2,None,445,325,,
666418789513326592,2015-11-17,twitter,rateDogs photo,10,None,125,46,toy_terrier,0.14968
666421158376562688,2015-11-17,twitter,rateDogs photo,12,None,316,111,Blenheim_spaniel,0.906777
666428276349472768,2015-11-17,twitter,rateDogs photo,7,None,165,83,Pembroke,0.371361
666430724426358785,2015-11-17,twitter,rateDogs photo,6,None,319,198,Irish_terrier,0.104109
666435652385423360,2015-11-17,twitter,rateDogs photo,10,None,165,53,Chesapeake_Bay_retriever,0.18413
666437273139982337,2015-11-17,twitter,rateDogs photo,7,None,125,48,Chihuahua,0.6718529999999999
666447344410484738,2015-11-17,twitter,rateDogs photo,9,None,104,20,curly-coated_retriever,0.32208400000000004
666454714377183233,2015-11-17,twitter,rateDogs photo,10,None,523,209,dalmatian,0.278954
666644823164719104,2015-11-17,twitter,rateDogs photo,9,None,233,83,Ibizan_hound,0.0443334
666649482315059201,2015-11-17,twitter,rateDogs photo,4,None,890,587,Border_collie,0.447803
666691418707132416,2015-11-17,twitter,rateDogs photo,8,None,187,47,German_shepherd,0.975401
666701168228331520,2015-11-17,twitter,rateDogs photo,8,None,435,222,Labrador_retriever,0.887707
666739327293083650,2015-11-17,twitter,rateDogs photo,10,None,237,66,miniature_poodle,0.546933
666776908487630848,2015-11-18,twitter,rateDogs photo,5,None,354,175,miniature_pinscher,0.167175
666781792255496192,2015-11-18,twitter,rateDogs photo,10,None,392,200,Italian_greyhound,0.618316
666786068205871104,2015-11-18,twitter,rateDogs photo,2,None,771,490,,
666804364988780544,2015-11-18,twitter,rateDogs photo,8,None,242,94,English_setter,0.32879200000000003
666817836334096384,2015-11-18,twitter,rateDogs photo,9,None,527,258,miniature_schnauzer,0.496953
