tweet_id,timestamp,source,expanded_urls,rating,dog_stage,favorite_count,retweet_count
666020888022790149,2015-11-15,twitter,rateDogs photo,8,None,2560,513
666029285002620928,2015-11-15,twitter,rateDogs photo,7,None,130,47
666033412701032449,2015-11-15,twitter,rateDogs photo,9,None,125,44
666044226329800704,2015-11-16,twitter,rateDogs photo,6,None,298,141
666049248165822465,2015-11-16,twitter,rateDogs photo,5,None,109,40
666050758794694657,2015-11-16,twitter,rateDogs photo,10,None,133,58
666051853826850816,2015-11-16,twitter,rateDogs photo,2,None,1210,846
666055525042405380,2015-11-16,twitter,rateDogs photo,10,None,433,249
666057090499244032,2015-11-16,twitter,rateDogs photo,9,None,297,141
666058600524156928,2015-11-16,twitter,rateDogs photo,8,None,111,57
666063827256086533,2015-11-16,twitter,rateDogs photo,10,None,476,217
666071193221509120,2015-11-16,twitter,rateDogs photo,9,None,147,60
666073100786774016,2015-11-16,twitter,rateDogs photo,10,None,321,163
666082916733198337,2015-11-16,twitter,rateDogs photo,6,None,118,44
666094000022159362,2015-11-16,twitter,rateDogs photo,9,None,164,73
666099513787052032,2015-11-16,twitter,rateDogs photo,8,None,154,67
666102155909144576,2015-11-16,twitter,rateDogs photo,11,None,80,12
666104133288665088,2015-11-16,twitter,rateDogs photo,1,None,14293,6576
666268910803644416,2015-11-16,twitter,rateDogs photo,10,None,102,35
666273097616637952,2015-11-16,twitter,rateDogs photo,11,None,174,76
666287406224695296,2015-11-16,twitter,rateDogs photo,9,None,149,64
666293911632134144,2015-11-16,twitter,rateDogs photo,3,None,500,354
666337882303524864,2015-11-16,twitter,rateDogs photo,9,None,198,91
666345417576210432,2015-11-16,twitter,rateDogs photo,10,None,296,135
666353288456101888,2015-11-16,twitter,rateDogs photo,8,None,220,72
666362758909284353,2015-11-16,twitter,rateDogs photo,6,None,778,568
666373753744588802,2015-11-16,twitter,rateDogs photo,11,None,188,93
666396247373291520,2015-11-16,twitter,rateDogs photo,9,None,168,84
666407126856765440,2015-11-17,twitter,rateDogs photo,7,None,109,40
666411507551481857,2015-11-17,twitter,rateDogs photo,2,None,445,325
666418789513326592,2015-11-17,twitter,rateDogs photo,10,None,125,46
